State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Chittor,Bangarupalem,Coconut,Coconut,Medium,17/11/2014,7000,7500,7000,138
Andhra Pradesh,Chittor,Bangarupalem,Mango,Langra,Medium,18/06/2015,13600,14000,13600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Langra,Medium,19/06/2015,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Langra,Medium,24/07/2015,10600,11000,10800,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,18/07/2015,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,03/08/2015,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,03/06/2015,9500,10000,9500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,04/06/2015,8500,9000,8500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,21/07/2015,9600,10000,9800,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,12/08/2015,10600,11000,10600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Raspuri,Medium,07/07/2015,9600,10000,9800,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Raspuri,Medium,26/07/2015,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Safeda,Medium,25/06/2015,10600,11000,10600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Safeda,Medium,09/07/2015,9800,10000,9800,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Safeda,Medium,16/07/2015,9600,10000,9800,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Badami,Medium,15/06/2016,19500,20000,19500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Badami,Medium,17/06/2016,17600,18000,17600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Badami,Medium,22/06/2016,15600,16000,15600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,30/06/2016,14500,15000,14500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,01/07/2016,12500,13000,12500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,05/07/2016,12600,13000,12600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,06/07/2016,13500,14000,13500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,13/07/2016,12600,13000,12600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,19/07/2016,12500,13000,12500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,24/07/2016,12500,13000,12500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,03/08/2016,12500,13000,12500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Neelam,Medium,04/08/2016,12500,13000,12500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,19/05/2016,10500,11000,10500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,01/06/2016,10500,11000,10500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,19/06/2016,10500,11000,10500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,24/06/2016,11600,12000,11600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,25/06/2016,9500,10000,9500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,27/06/2016,10500,11000,10500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,30/06/2016,10500,11000,10500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,03/07/2016,9500,10000,9500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,05/07/2016,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,08/07/2016,9500,10000,9500,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,12/07/2016,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,14/07/2016,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,02/08/2016,9600,10000,9600,20
Andhra Pradesh,Chittor,Bangarupalem,Mango,Other,Medium,05/08/2016,9500,10000,9500,20
Andhra Pradesh,Chittor,Bangarupalem,Tamarind Seed,Tamarind Seed,Medium,04/01/2016,16500,17000,16500,208
Andhra Pradesh,Chittor,Bangarupalem,Tamarind Seed,Tamarind Seed,Medium,02/02/2016,15500,16000,15500,208
Andhra Pradesh,Chittor,Bangarupalem,Tamarind Seed,Tamarind Seed,Medium,16/02/2016,16500,17000,16500,208
Andhra Pradesh,Chittor,Bangarupalem,Tamarind Seed,Tamarind Seed,Medium,27/02/2016,15500,16000,15500,208
Andhra Pradesh,Chittor,Bangarupalem,Tamarind Seed,Tamarind Seed,Medium,13/03/2016,15500,16000,15500,208
