State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,23/06/2015,800,1000,1000,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,30/06/2015,700,700,700,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,03/07/2015,700,800,800,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,08/07/2015,750,750,750,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,09/07/2015,700,700,700,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,10/07/2015,700,800,800,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,13/07/2015,700,700,700,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,14/07/2015,750,750,750,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,15/07/2015,750,800,800,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,21/07/2015,300,700,700,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,12/08/2015,600,700,700,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,22/08/2015,700,800,750,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,02/09/2015,400,1050,800,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,11/09/2015,750,1150,750,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,14/09/2015,400,1100,800,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,15/09/2015,750,1100,750,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,03/10/2015,450,950,450,24
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Potato,Other,FAQ,14/10/2015,400,850,800,24
