State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,18/01/2014,1000,1500,1250,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,21/01/2014,1000,1500,1250,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,25/01/2014,1000,1500,1250,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,26/02/2014,800,1000,900,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,27/03/2014,500,700,600,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,01/04/2014,400,600,500,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,05/05/2014,200,400,300,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,30/10/2014,1000,1500,1200,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,12/11/2014,1000,1500,1200,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,13/11/2014,1000,1500,1300,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,26/11/2014,1000,1200,1000,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,28/11/2014,1000,1200,1100,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,10/12/2014,1200,1600,1400,154
Jammu and Kashmir,Jammu,Akhnoor,Cabbage,Other,FAQ,05/01/2015,1000,1500,1200,154
Jammu and Kashmir,Jammu,Akhnoor,Onion,Other,FAQ,05/01/2015,2000,2200,2100,23
Jammu and Kashmir,Jammu,Akhnoor,Cucumbar(Kheera),Other,FAQ,12/11/2014,3000,3500,3200,159
Jammu and Kashmir,Jammu,Akhnoor,Cucumbar(Kheera),Other,FAQ,13/11/2014,3000,3500,3000,159
Jammu and Kashmir,Jammu,Akhnoor,Cucumbar(Kheera),Other,FAQ,04/12/2014,2500,3000,2700,159
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,01/01/2015,3500,4000,3800,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,04/01/2015,5000,5500,5200,164
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,18/07/2014,1000,1200,1100,153
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,23/07/2014,7500,8000,7750,153
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,27/11/2014,2300,2500,2400,153
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,04/12/2014,3200,3500,3300,153
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,06/12/2014,3200,3500,3400,153
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,10/12/2014,3000,3500,3200,153
Jammu and Kashmir,Jammu,Akhnoor,Raddish,Other,FAQ,07/02/2014,500,600,550,161
Jammu and Kashmir,Jammu,Akhnoor,Raddish,Other,FAQ,10/02/2014,500,600,550,161
Jammu and Kashmir,Jammu,Akhnoor,Raddish,Other,FAQ,26/02/2014,1000,1200,1100,161
Jammu and Kashmir,Jammu,Akhnoor,Raddish,Other,FAQ,28/02/2014,500,600,550,161
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,16/01/2014,2500,3000,2750,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,01/04/2014,3000,3500,3250,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,02/04/2014,3200,3500,3350,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,06/05/2014,900,1100,950,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,12/05/2014,900,1200,1150,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,12/07/2014,4000,4200,4100,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,23/07/2014,4000,4200,4100,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,28/07/2014,4000,4200,4100,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,06/08/2014,4000,4500,4250,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,12/08/2014,3800,4000,3900,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,13/08/2014,4000,4200,4100,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,27/08/2014,3800,4000,3900,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,29/08/2014,3800,4000,3900,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,13/11/2014,4500,5000,4800,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,01/12/2014,3000,3200,3200,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,11/12/2014,5500,6000,5700,164
Jammu and Kashmir,Jammu,Akhnoor,Capsicum,Other,FAQ,12/12/2014,5000,5500,5200,164
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,18/04/2016,800,1000,900,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,21/04/2016,900,1100,1000,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,23/04/2016,1100,1200,1150,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,07/05/2016,1000,1100,1050,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,09/05/2016,900,1100,1000,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,11/05/2016,900,1100,1000,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,16/05/2016,1300,1400,1350,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,25/05/2016,1200,1400,1300,24
Jammu and Kashmir,Jammu,Akhnoor,Potato,Other,FAQ,26/05/2016,1200,1400,1300,24
