State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,01/01/2025,3000,4000,3800,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,04/01/2025,2700,3000,2800,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,07/01/2025,3000,3500,3200,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,11/01/2025,2400,2600,2500,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,22/01/2025,2600,2700,2600,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,25/01/2025,2400,2600,2500,87
Assam,Kamrup,Brahmaputra Private Market,Green Chilli,Green Chilly,Local,30/01/2025,2400,2600,2500,87
Assam,Kamrup,Brahmaputra Private Market,Beans,Beans (Whole),Local,08/01/2025,2700,3000,2800,94
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,01/01/2025,1667.5,1734.2,1667.5,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,03/01/2025,1534.1,1667.5,1600.8,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,07/01/2025,1734.2,1867.6,1800.9,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,09/01/2025,1867.6,2001,1867.6,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,11/01/2025,1734.2,1867.6,1800.9,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,16/01/2025,1667.5,1734.2,1667.5,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,17/01/2025,1734.2,1800.9,1734.2,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,21/01/2025,1667.5,1734.2,1667.5,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,28/01/2025,1734.2,1800.9,1734.2,310
Assam,Kamrup,Brahmaputra Private Market,Lemon,Lemon,Local,30/01/2025,1667.5,1734.2,1667.5,310
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,01/01/2025,3000,3500,3200,78
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,16/01/2025,1800,2000,1800,78
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,19/01/2025,1800,2000,1800,78
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,26/01/2025,1800,2000,1800,78
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,29/01/2025,1800,2000,1800,78
Assam,Kamrup,Brahmaputra Private Market,Tomato,Tomato,Local,31/01/2025,1700,1800,1700,78
Assam,Kamrup,Brahmaputra Private Market,Cabbage,Cabbage,Local,20/01/2025,900,1000,900,154
Assam,Kamrup,Brahmaputra Private Market,Cabbage,Cabbage,Local,21/01/2025,900,1100,1000,154
Assam,Kamrup,Brahmaputra Private Market,Cabbage,Cabbage,Local,22/01/2025,900,1100,1000,154
Assam,Kamrup,Brahmaputra Private Market,Ginger(Green),Green Ginger,Local,16/01/2025,3500,4000,3800,103
