State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,25/04/2016,1300,0,1300,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,08/06/2016,1700,0,1700,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,09/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,11/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,14/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,15/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,17/06/2016,1700,0,1700,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,21/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,25/06/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,01/07/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,05/07/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,09/07/2016,1800,0,1800,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,11/07/2016,1900,0,1900,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,12/07/2016,1900,0,1900,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,15/07/2016,2000,0,2000,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,05/08/2016,1600,0,1600,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,16/08/2016,1500,0,1500,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,18/08/2016,1500,0,1500,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,14/09/2016,1500,0,1500,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,20/09/2016,1400,0,1400,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,22/09/2016,1300,0,1300,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,24/09/2016,1300,0,1300,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,26/09/2016,1200,0,1200,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,28/09/2016,1200,0,1200,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,30/09/2016,1100,0,1100,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,01/10/2016,1200,0,1200,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,03/10/2016,1100,0,1100,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,04/10/2016,1100,0,1100,23
Goa,North Goa,"Horticulture Corp,Caranzalem, Panaji",Onion,Onion,FAQ,10/10/2016,1200,0,1200,23
