State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Pondicherry,Pondicherry,Madagadipet,Cotton,Other,FAQ,11/04/2014,4090,4090,4090,15
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,17/03/2014,7511,7511,7511,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,26/03/2014,6211,6211,6211,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,27/03/2014,7179,7179,7179,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,30/04/2014,7799,7799,7799,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,22/05/2014,7186,7206,7196,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,23/05/2014,6661,6706,6690,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,02/06/2014,6425,6513,6482,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,03/06/2014,6139,6165,6144,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,19/06/2014,6844,6863,6857,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,08/07/2014,6490,7124,6821,11
Pondicherry,Pondicherry,Madagadipet,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,08/08/2014,6874,6874,6874,11
Pondicherry,Pondicherry,Madagadipet,Hybrid Cumbu,Other,FAQ,28/05/2014,1454,1454,1454,119
Pondicherry,Pondicherry,Madagadipet,Groundnut,Other,FAQ,17/01/2014,2398,2398,2398,10
Pondicherry,Pondicherry,Madagadipet,Groundnut,Other,FAQ,24/03/2014,3028,3028,3028,10
Pondicherry,Pondicherry,Madagadipet,Groundnut,Other,FAQ,31/03/2014,3318,3318,3318,10
Pondicherry,Pondicherry,Madagadipet,Groundnut,Other,FAQ,21/04/2014,3125,3275,3250,10
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,03/02/2014,4125,4125,4125,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,12/02/2014,4609,5669,5110,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,14/02/2014,5275,5821,5500,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,17/02/2014,4390,5790,4800,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,25/02/2014,3369,5259,4500,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,26/02/2014,4039,5656,5000,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,27/02/2014,4611,5303,5000,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,10/03/2014,3061,5712,4350,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,12/03/2014,5043,5533,5290,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,13/03/2014,4889,4989,4900,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,14/03/2014,4809,5089,4900,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,17/03/2014,4902,5571,5100,115
Pondicherry,Pondicherry,Madagadipet,Karamani,Other,FAQ,28/05/2014,1569,1569,1569,115
Pondicherry,Pondicherry,Madagadipet,T.V. Cumbu,Other,FAQ,31/10/2014,1471,1471,1471,120
Pondicherry,Pondicherry,Madagadipet,Thinai (Italian Millet),Other,FAQ,15/10/2014,1209,1209,1209,116
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,11/03/2013,3819,3819,3819,9
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,20/03/2013,4272,4272,4272,9
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,01/04/2013,4719,4719,4719,9
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,02/04/2013,4089,4089,4089,9
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,16/04/2013,4429,4429,4429,9
Pondicherry,Pondicherry,Madagadipet,Green Gram (Moong)(Whole),Other,FAQ,19/08/2013,1801,1801,1801,9
Pondicherry,Pondicherry,Madagadipet,Big Gram,Other,FAQ,24/02/2014,1890,1890,1890,113
Pondicherry,Pondicherry,Madagadipet,Big Gram,Other,FAQ,27/02/2014,2300,2300,2300,113
Pondicherry,Pondicherry,Madagadipet,Groundnut (Split),Other,FAQ,24/03/2015,4183,4183,4183,314
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,23/01/2015,1151,1159,1155,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,04/05/2015,1149,1149,1149,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,06/05/2015,1183,1203,1193,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,19/05/2015,1103,1103,1103,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,21/05/2015,1151,1168,1159,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,22/05/2015,1183,1187,1185,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,01/06/2015,1165,1176,1170,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,03/06/2015,1192,1204,1198,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,09/06/2015,1169,1196,1182,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,12/06/2015,1096,1232,1164,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,16/06/2015,1185,1203,1194,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,18/06/2015,1263,1269,1266,2
Pondicherry,Pondicherry,Madagadipet,Paddy(Dhan)(Common),ADT 37,FAQ,22/06/2015,1263,1269,1266,2
