State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,01/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,08/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,16/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,18/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,27/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,29/01/2016,1410,1410,1410,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,22/11/2016,1470,1470,1470,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,29/11/2016,1470,1470,1470,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,06/12/2016,1213,1220,1217,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,08/12/2016,1220,1290,1255,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,16/12/2016,1232,1292,1262,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,17/12/2016,1240,1319,1280,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,24/12/2016,1250,1470,1360,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,27/12/2016,1250,1332,1291,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),Common,FAQ,30/12/2016,1250,1327,1289,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),I.R. 36,FAQ,12/01/2016,1450,1450,1450,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),I.R.-64,FAQ,01/01/2016,1450,1450,1450,2
Chattisgarh,Raipur,Abhanpur,Paddy(Dhan)(Common),I.R.-64,FAQ,06/01/2016,1450,1450,1450,2
