State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,04/01/2016,12400,12600,12500,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,04/02/2016,11000,11200,11100,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,08/02/2016,11000,11200,11100,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,11/02/2016,11000,11200,11100,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,12/02/2016,11000,11200,11100,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,14/02/2016,11000,11200,11100,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,23/02/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,27/02/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,01/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,05/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,22/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,23/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,26/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Moath Dal,Other,FAQ,31/03/2016,10000,10500,10250,258
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,02/01/2015,2000,2300,2150,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,17/01/2015,2000,2300,2150,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,27/01/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,01/02/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,04/02/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,06/02/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,08/02/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,27/02/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,03/03/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,10/03/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,12/03/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,16/03/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,23/03/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,05/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,06/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,12/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,15/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,28/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,29/04/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,01/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,07/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,14/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,25/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,28/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,30/05/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,04/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,07/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,08/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,09/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,16/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,17/06/2015,1600,1800,1700,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,22/06/2015,1800,2000,1900,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,24/06/2015,1800,2000,1900,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,02/07/2015,1800,2000,1900,23
Jharkhand,Ranchi,Khunti,Onion,Local,FAQ,03/07/2015,1800,2000,1900,23
