State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,09/01/2003,0,0,400,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,24/02/2003,0,0,400,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,06/03/2003,0,0,500,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,18/03/2003,0,0,500,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,20/03/2003,0,0,500,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,24/03/2003,0,0,400,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,29/03/2003,0,0,500,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,29/05/2003,0,0,600,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,04/06/2003,0,0,600,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,13/06/2003,0,0,900,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,26/06/2003,0,0,1000,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,16/07/2003,0,0,300,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,24/07/2003,0,0,300,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,15/09/2003,0,0,800,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,19/09/2003,0,0,700,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,24/09/2003,0,0,700,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,25/09/2003,0,0,700,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,27/09/2003,0,0,600,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,02/12/2003,0,0,400,35
Telangana,Ranga Reddy,"Alwal,RBZ",Brinjal,Other,FAQ,03/12/2003,0,0,400,35
Telangana,Ranga Reddy,"Alwal,RBZ",Potato,Other,FAQ,02/12/2003,0,0,700,24
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,15/01/2003,0,0,700,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,17/01/2003,0,0,1000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,17/03/2003,0,0,900,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,21/03/2003,0,0,800,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,26/03/2003,0,0,1200,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,27/03/2003,0,0,1200,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,16/04/2003,0,0,1400,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,17/04/2003,0,0,1600,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,18/04/2003,0,0,2000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,21/04/2003,0,0,1600,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,22/04/2003,0,0,1600,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,24/04/2003,0,0,1200,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,28/04/2003,0,0,2400,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,13/05/2003,0,0,3000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,22/05/2003,0,0,2100,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,23/05/2003,0,0,2100,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,24/05/2003,0,0,2000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,26/05/2003,0,0,2200,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,27/05/2003,0,0,2200,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,11/06/2003,0,0,2700,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,12/06/2003,0,0,3000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,21/06/2003,0,0,4000,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,27/06/2003,0,0,2400,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,02/08/2003,0,0,1300,298
Telangana,Ranga Reddy,"Alwal,RBZ",French Beans (Frasbean),Other,FAQ,07/08/2003,0,0,1000,298
