State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,26/09/2024,1500,8000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,21/09/2024,1500,6000,3500,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,24/09/2024,1500,6000,3000,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,26/09/2024,1500,6000,4000,330
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,24/10/2024,1500,7500,5500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,16/10/2024,2000,7500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,17/10/2024,2000,9500,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,28/09/2025,2500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,16/09/2025,2500,12500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,20/09/2025,3000,12700,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,21/09/2025,2500,11500,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,22/09/2025,2500,11000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,21/09/2025,2500,11500,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,17/09/2025,2500,11500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,28/09/2025,2500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,04/10/2025,2000,6000,4000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,04/10/2024,2000,10000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,13/09/2024,1500,7000,3700,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,25/09/2024,1500,6000,3500,330
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,09/10/2024,2000,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,19/10/2024,3000,8000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,06/10/2024,1500,10000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,29/10/2024,1500,4000,2500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,15/09/2024,2000,11500,9000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,18/09/2024,2000,11000,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,24/09/2024,2000,9000,5500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,25/09/2024,1500,9000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,17/09/2025,2500,11500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,28/09/2025,2500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,19/09/2025,2500,12000,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,16/09/2025,2000,12500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,21/09/2025,2500,11500,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,23/09/2025,2500,12000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,23/09/2025,2500,12000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,03/10/2025,2000,7500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,04/10/2025,2000,6000,4000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,07/10/2024,2000,8000,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,21/10/2024,3000,8000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,14/09/2024,1500,6000,4000,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,16/09/2024,1500,7000,4700,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,18/09/2024,1500,7000,4000,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,19/09/2024,1500,7000,4000,330
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,03/10/2024,1500,9000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,16/09/2024,2000,11500,8000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,23/09/2024,2000,10500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,29/09/2024,2000,9000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,12/09/2024,2000,11200,9000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,27/09/2024,1500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,30/09/2025,2000,9300,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,15/09/2025,3000,12500,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,19/09/2025,2500,12000,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,19/09/2025,2500,12000,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,26/09/2025,2500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,20/09/2025,3000,12700,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,03/10/2025,2000,7500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,06/10/2025,2000,6000,4000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,12/10/2024,1500,10500,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,23/10/2024,2000,8000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,11/10/2024,2000,9500,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,26/10/2024,2000,8500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,28/10/2024,1500,5000,3000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,18/10/2024,3000,8000,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,15/10/2024,2000,7000,4000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,11/09/2024,2000,12500,9500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,14/09/2024,2000,11000,8000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,19/09/2024,2000,11500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,20/09/2024,1500,11000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,22/09/2024,2000,11000,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,30/09/2024,2000,9000,5500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,23/09/2025,2500,12000,6500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,22/09/2025,2500,11000,7000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,26/09/2025,2500,9000,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,20/09/2025,3000,12700,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,17/09/2025,2500,11500,7500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Medium,30/09/2025,2000,9300,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,30/09/2025,2000,9300,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Large,04/10/2025,2000,6000,4000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,06/10/2025,2000,6000,4009,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Apple,Small,03/10/2025,2000,7500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,25/10/2024,2000,8500,5000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,22/10/2024,2000,8500,6000,17
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,10/09/2024,1500,7000,4500,330
Himachal Pradesh,Shimla,Bhattakufar,Pear(Marasebu),Pears,Medium,20/09/2024,1500,6000,3500,330
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,10/09/2024,2500,11000,8000,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,13/09/2024,1500,11500,8500,17
Himachal Pradesh,Shimla,Bhattakufar,Apple,Royal Delicious,Medium,21/09/2024,1500,11000,7000,17
